date,nav,amfi_code,scheme_name,fund_house,scheme_label
2022-01-03,54.3991,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-01-04,54.9154,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-01-05,55.148,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-01-06,54.8331,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-01-07,54.8875,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-01-10,55.5418,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-01-11,55.7781,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-01-12,56.42,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-01-13,56.5521,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-01-14,56.628,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-01-17,56.5581,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-01-18,55.9155,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-01-19,55.6133,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-01-20,55.2412,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-01-21,54.656,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-01-24,53.1466,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-01-25,54.0577,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-01-27,53.7011,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-01-28,53.7749,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-01-31,54.7458,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-02-01,55.3735,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-02-02,56.0001,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-02-03,55.544,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-02-04,55.2995,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-02-07,54.5047,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-02-08,54.5086,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-02-09,55.0412,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-02-10,55.4149,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-02-11,54.5917,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-02-14,52.6686,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-02-15,54.2458,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-02-16,54.128,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-02-17,54.0568,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-02-18,53.9536,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-02-21,53.7433,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-02-22,53.1845,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-02-23,53.1129,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-02-24,50.5103,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-02-25,51.9245,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-02-28,52.1261,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-03-02,51.4979,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-03-03,51.257,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-03-04,50.5231,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-03-07,49.4198,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-03-08,50.1075,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-03-09,51.1626,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-03-10,51.7675,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-03-11,51.9161,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-03-14,52.6659,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-03-15,52.1763,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-03-16,53.1544,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-03-17,53.9074,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-03-21,53.3653,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
2022-03-22,53.9773,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Nippon_LargeCap
